company	current_location	ssn	name	mail	user_id	residence	username	birthdate	address	registration	blood_group	station_ID
Campbell, Daugherty and Hayes	(Decimal('-50.1805485'), Decimal('-87.516829'))	246-69-2963	Lisa Lopez	burnslisa@gmail.com	1344		tlewis		"29150 Gonzalez Walk
West Heatherstad, PR 64825"	04 Nov 2022	O+	250
Cugia, Tropea e Murri e figli	(Decimal('-54.3785635'), Decimal('129.059150'))	FGNLGO85B24I232F	Salvatore Traetta	wmondaini@alice.it	1054		costanzo86	1974-02-15	"Incrocio Gabriele, 20 Appartamento 3
26856, Mirabello (LO)"	21 Jul 2024	AB+	644
Schmidtke Ortmann GbR	(Decimal('51.937301'), Decimal('135.184148'))	302-93-4721	Rolf-Dieter Ortmann B.Eng.	freudenbergerirmengard@hotmail.de	1325		johannaloisia		"Hertrampfweg 60
92550 Senftenberg"	2025-07-27	AB-	533
佐藤保険株式会社	(Decimal('69.626227'), Decimal('68.854746'))	029-56-0731	坂本 桃子	tarokimura@yahoo.com	1789		nakajimayuta	1937-05-16	和歌山県品川区丸の内ＪＰタワー26丁目27番10号	18 Jul 2021	A-	69
Trujillo-Humphrey	(Decimal('27.013214'), Decimal('24.264719'))	538-37-9419	Gerald Kelley	iestes@yahoo.com	1292		denise01	1933-05-29	"741 Jensen Divide
New Allisonport, ID 68323"	15 May 2020	AB+	564
Owens-Jimenez	(Decimal('62.5694835'), Decimal('-172.375598'))	619-16-1247	Derrick Clark	victoria02@gmail.com	1376		erinjohnson	1943-08-30	"82029 Anderson Circle
Jamesfurt, AR 90845"	21 Jul 2024	AB-	427
Marques	(Decimal('34.1864905'), Decimal('-32.201865'))	58076194393	Sra. Eduarda Porto	levi59@hotmail.com	531		limaluiz-henrique	1990-02-27		24 Dec 2023	O-	350
Guidotti-Pietrangeli Group	(Decimal('66.268055'), Decimal('-76.624990'))	CRBGNE94B07E906E	Valeria Murialdo	pcuomo@poste.it	1239		anita92		"Canale Travaglio, 720 Piano 3
80069, Vico Equense (NA)"	2020-05-20	AB-	304
Argento-Pisani SPA	(Decimal('-40.8241425'), Decimal('170.843894'))	CHSNTA72T26H256D	Uberto Tassoni	graziellacarducci@hotmail.com	119		francobaglioni	1967-01-05	"Borgo Napolitano, 7
06084, Passaggio (PG)"	2024/06/13	O+	223
有限会社鈴木運輸	(Decimal('-58.5326185'), Decimal('16.784463'))	627-82-9065	佐藤 健一	taro06@gmail.com	1457		inoueyumiko	1998-08-15	栃木県袖ケ浦市芝浦36丁目26番17号 アーバン橋場922	2022/07/05	A-	453
Porter-Miranda	(Decimal('30.752985'), Decimal('-156.953656'))	694-19-2683	Cody Hardy	daniellewilliams@gmail.com	1725		brianestes	2010-01-14	"52739 Gilbert Estates Apt. 952
Williamside, TN 58306"	2023/02/01	A+	99
Jacobi Jäckel Wilmsen GmbH & Co. KG	(Decimal('-67.245823'), Decimal('-55.418992'))	103-76-2955	Luzia Hande-Losekann	gertraude69@gmx.de	1272		scheibeengin	1945-12-05	"Schäferring 1-1
76230 Zerbst"	2023-04-04	B-	345
Walter AG		138-15-3457	Silvia Kaul-Girschner	dsalz@googlemail.com	734		weissadriane	1910-04-16	"Frederic-Schweitzer-Allee 3-6
99271 Kötzting"	2019/02/27	O+	171
Cavalcanti Rodrigues S.A.	(Decimal('-26.0906015'), Decimal('-74.573395'))	42793056847	Ian Pires	aurora21@ig.com.br	1151		novaiseloah		"Setor da Mota
Conjunto Califórnia I
51286-953 Oliveira / PE"	07/18/2023, 00:00:00	A-	421
Fechner AG & Co. KG	(Decimal('-70.198196'), Decimal('-10.022383'))	919-80-4856	Dogan Eckbauer	rosaliehenschel@gmail.com	97		anicahentschel	1989-08-10	"Eggert-Liebelt-Ring 47
23326 Einbeck"	22 Mar 2021	A+	244
Solis, Flores and Gordon	(Decimal('59.733873'), Decimal('-0.515046'))	104-65-6158	Mark Smith PhD	patricia20@gmail.com	1612		hdavis			07 Jan 2024	AB-	588
Elliott Ltd	(Decimal('9.959149'), Decimal('4.872050'))	434-33-5743	Emily Gould	stephenpena@hotmail.com	532		carriewright			28 Jan 2022	AB-	126
Barbosa S/A	(Decimal('-65.4050495'), Decimal('-54.721295'))	72086159340	Enzo Lopes	jadeda-paz@bol.com.br	786		luna87	1949-06-12	"Parque Moreira, 70
Vila Betânia
94473-496 Ribeiro / GO"	06/14/2019, 00:00:00	AB+	82
Martin e.V.	(Decimal('-58.7651305'), Decimal('-10.234901'))	658-71-1478	Frederike Noack	hagenschaaf@aol.de	1322		sandykallert		"Krauseweg 42-12
36759 Arnstadt"	12/10/2022, 00:00:00	O-	89
Carvalho - ME	(Decimal('66.530153'), Decimal('149.367942'))	86935720400	Laura Oliveira	lcirino@gmail.com	970		bella94		"Viaduto Fernando Casa Grande, 120
Flavio De Oliveira
94025736 Gomes das Flores / ES"	2024/11/14	A-	281
Corbo, Rismondo e Berengario e figli	(Decimal('-26.0179335'), Decimal('-125.481648'))	BRRLGU92B41E232L	Virgilio Pedrazzini	ignazioperini@fastwebnet.it	1181		melina09		"Stretto Adamo, 29 Appartamento 2
80045, Mariconda (NA)"	22 Apr 2024	O-	354
Comboni-Montanari SPA	(Decimal('-84.5712175'), Decimal('-150.125468'))	FRRFLP19L63D143Y	Ilaria Navone	francescatrapanese@tiscali.it	802		nsalieri	1941-04-06	"Strada Troisi, 29 Appartamento 98
18020, Prela' (IM)"	16 Sep 2025	O-	229
Allen-Parker	(Decimal('50.8413065'), Decimal('-5.451037'))	007-55-3153	Dustin Vargas	greyes@gmail.com	1831		kyle58			03/09/2025, 00:00:00	O+	79
Farrell PLC	(Decimal('56.3023765'), Decimal('1.959414'))	089-74-6997	Kristen Singh	fosterisaac@hotmail.com	1581		gabriella86	1929-09-26	"3204 Haney Trafficway Suite 899
Lake Clarence, LA 92986"	25 Aug 2022	O-	626
Mendoza-Castro	(Decimal('19.917120'), Decimal('-104.098520'))	567-57-4744	Kelly Smith	qsmith@gmail.com	1651		briananderson	2024-11-05	"9617 Reed Extensions Suite 942
Smallhaven, WI 39330"	03/11/2024, 00:00:00	O-	204
Lübs AG & Co. OHG	(Decimal('-37.7307485'), Decimal('-85.268549'))	544-05-4924	Theodoros Hauffer B.Eng.	uschiliebelt@googlemail.com	1710		wbruder	1977-08-27	"Margareta-Thanel-Ring 6
52866 Einbeck"	27 Nov 2022	AB+	135
Lopes da Cruz S/A	(Decimal('-19.4646645'), Decimal('-0.280647'))	15790234879	Sra. Pietra Sousa	maria-ceciliacosta@ig.com.br	333		da-cunhajoao-guilherme	1912-09-16	"Esplanada Henrique Nunes, 4
Barão Homem De Melo 2ª Seção
28109-330 Cavalcante do Sul / AC"	2024/03/17	B+	622
Decker-Aguilar	(Decimal('65.3934175'), Decimal('-153.211258'))	351-26-3765	Vanessa Pierce	kellerkristina@yahoo.com	49		danielle35			07 Dec 2021	O+	663
合同会社村上建設	(Decimal('16.3544735'), Decimal('-136.909539'))	133-12-7579	中島 学	akeminakajima@hotmail.com	2138		tomoyayamada	1933-01-12	宮崎県日野市西神田34丁目25番15号	2022-06-10	O+	430
Fonseca	(Decimal('41.655932'), Decimal('-116.155641'))	50342869124	Emanuella da Cunha	maria-liz27@hotmail.com	1092		isisfreitas	2002-10-06	"Favela Carvalho, 915
Vila Cemig
73148369 Moura / CE"	2023-04-08	A+	639
Pareto-Errani Group	(Decimal('69.353708'), Decimal('120.080514'))	VSMCLR43E71I420N	Raffaella Fermi	irma84@alice.it	1775		tizianacanali	1987-12-13	"Stretto Endrizzi, 5
29020, Quadrelli (PC)"	07/14/2022, 00:00:00	B-	478
中川農林合同会社	(Decimal('-8.912182'), Decimal('-25.986875'))	541-55-6832	鈴木 春香	tanakasotaro@gmail.com	712		naotomaeda			27 Dec 2019	AB+	1
山口銀行株式会社	(Decimal('55.970243'), Decimal('-96.962839'))	793-52-5511	伊藤 治	vkato@yahoo.com	139		sotaro81	1975-04-10	島根県川崎市川崎区猿楽町9丁目7番2号	2025-04-10	A-	365
Jovinelli-Vittadello Group	(Decimal('-39.5900315'), Decimal('129.067245'))	GNSGDU70H65D379I	Sig. Baldassare Romiti	lrusticucci@tele2.it	975		htafuri		"Incrocio Armani, 83
60128, Ancona (AN)"	07/30/2020, 00:00:00	A-	3
高橋印刷株式会社	(Decimal('-74.593863'), Decimal('-19.081500'))	065-50-5939	伊藤 香織	yamashitayosuke@gmail.com	1740		rika29		高知県葛飾区小入31丁目6番4号 アーバン港南083	24 Jun 2024	AB+	89
Wells Inc	(Decimal('-68.2254065'), Decimal('92.733613'))	811-27-6375	Stanley Hodges	bushtimothy@hotmail.com	859		pwebb		"68094 Jessica Way
Smithbury, IA 79118"	02/28/2019, 00:00:00	A+	423
Cook Group	(Decimal('39.350140'), Decimal('-124.275692'))	508-81-7544	David Smith	lcurry@gmail.com	709		torreschristy		"21300 Mason Mills
South Suzanneville, MN 17505"	2024/10/31	AB+	327
Freitas		61385470984	Bento Marques	cassianorodrigo@uol.com.br	364		ucastro			01 May 2024	AB+	188
Heuser	(Decimal('-28.9066335'), Decimal('-171.952427'))	224-76-8452	Ellinor Hübel B.Sc.	hannelorefranke@yahoo.de	1431		bauergoran			2025-01-29	A+	187
Nogueira	(Decimal('-40.9280575'), Decimal('-136.382352'))	64327095125	Lavínia Moreira	ssiqueira@gmail.com	1664		yagofernandes	1977-05-14	"Estação Moraes, 3
Comiteco
23334-524 da Luz das Flores / MG"	04/10/2019, 00:00:00	A-	629
Perez Ltd	(Decimal('32.131396'), Decimal('97.339713'))	264-81-7332	Mrs. Katie Wilcox	qdawson@hotmail.com	1626		ukennedy	1947-05-28	"42016 Wood Spring Suite 542
New Faith, OK 04804"	09/03/2025, 00:00:00	B+	179
Stadelmann	(Decimal('78.6398595'), Decimal('63.671664'))	984-36-1282	Lidija Conradi	mendeheinz@hotmail.de	1021		yscheibe	1999-03-20	"Zeki-Gutknecht-Allee 913
09693 Eutin"	2019/05/10	B-	291
Shields, Norris and Page	(Decimal('-81.918168'), Decimal('-124.176455'))	230-73-1591	Lori Marquez	kellyjohnson@gmail.com	1462		jacob93		"USNV Duran
FPO AP 00822"	01 Sep 2023	AB-	114
Camargo	(Decimal('-15.9750305'), Decimal('-52.375706'))	07483921650	Natália Cavalcante	castroeloa@bol.com.br	430		mariamendes	1926-07-05		22 Mar 2023	O-	591
Bonomo Group	(Decimal('-19.1151625'), Decimal('-161.356744'))	PRLRBT23P14L535R	Loretta Moresi	paltrinierililiana@tele2.it	916		antonellodoglioni		"Piazza Burcardo, 210 Piano 0
33056, Palazzolo Dello Stella (UD)"	2022/06/04	B+	316
Cardoso Ltda.	(Decimal('-43.4126165'), Decimal('-88.382665'))	95740368120	Maria Luísa Costela	eduarda51@uol.com.br	1119		tda-rocha	1952-10-29	"Fazenda Luiz Felipe Azevedo, 76
Vila Olhos D'água
58711747 Pacheco / MT"	2019/01/19	O-	389
Renner Kramer AG & Co. KG	(Decimal('-76.8897255'), Decimal('148.004508'))	443-50-5080	Dr. Isa Stoll	junckbogdan@gmx.de	2194		fjacobi-jaeckel	1941-10-14	"Edeltraut-Gertz-Straße 57/51
42276 Roding"	2021-07-30	O+	283
Logan-Gray	(Decimal('48.9430495'), Decimal('-150.150631'))	119-11-5166	William Peters	youngdennis@yahoo.com	344		kellyantonio	1938-10-24	"76507 Sanchez Keys
Lisaborough, NV 17837"	03 Apr 2021	O-	99
小林運輸株式会社	(Decimal('-24.978651'), Decimal('-169.976440'))	535-19-8900	田中 聡太郎	matsumotoatsushi@hotmail.com	548		momokoinoue		兵庫県新島村小入16丁目23番20号 所野コーポ293	10/26/2024, 00:00:00	O-	679
Montalti e figli	(Decimal('-33.9298425'), Decimal('130.855954'))	LTTGLM49C31A978C	Lina Fornaciari	mbinaghi@virgilio.it	35		xbaresi	1970-07-02	"Via Guarato, 69 Piano 8
25089, Bostone (BS)"	10/19/2019, 00:00:00	AB-	689
Montenegro Câmara e Filhos	(Decimal('-53.006324'), Decimal('-49.428175'))	80196247594	Thales Costa	xvieira@hotmail.com	271		caldeiraluiz-felipe	2000-08-29	"Sítio Heloísa Rios, 14
Vila Madre Gertrudes 3ª Seção
25410568 Correia / PE"	12 Feb 2020	AB+	653
Thanel	(Decimal('-65.207232'), Decimal('-111.703422'))	121-19-8007	Hannes Budig	geraldineschenk@gmx.de	756		ferenctschentscher	1979-06-09	"Danica-Köster-Platz 6
03945 Ilmenau"	2025/07/31	A+	124
Bolnbach	(Decimal('24.885885'), Decimal('-117.994890'))	920-30-3609	Torben Rose B.Sc.	anna-marie25@yahoo.de	436		theo59	1988-02-25	"Dorothee-Atzler-Platz 2/5
57091 Bischofswerda"	12/25/2021, 00:00:00	AB-	412
Eigenwillig GmbH	(Decimal('-37.644835'), Decimal('-81.209514'))	874-31-7465	Donald Gorlitz	helena62@aol.de	2078		kpoelitz	1985-06-07	"Liselotte-Pölitz-Straße 453
36753 Dieburg"	2020/07/03	B+	186
斉藤印刷合同会社	(Decimal('-31.554110'), Decimal('-22.634997'))	192-30-1438	高橋 七夏	yamamotonaoki@yahoo.com	411		watanabemaaya	1977-11-30		09/10/2023, 00:00:00	A+	661
Smith-Miller	(Decimal('-25.7779985'), Decimal('-136.282101'))	240-32-5215	Alexander Cox	hayessarah@hotmail.com	1520		fisheranthony	1912-02-24	"949 Patricia Harbors Apt. 155
Lisaview, OK 73534"	2021-10-23	O-	109
das Neves	(Decimal('82.718584'), Decimal('-67.057075'))	61953078230	Ágatha Silva	maysa79@hotmail.com	634		garaujo		"Conjunto Aparecida, 70
Virgínia
61170-696 Cunha do Campo / RN"	24 Oct 2019	O-	492
池田農林有限会社	(Decimal('85.006042'), Decimal('179.877948'))	207-70-4543	山崎 あすか	kaori22@yahoo.com	1860		kana82		三重県あきる野市脚折町22丁目9番2号 橋場アーバン989	2025/07/16	AB+	567
有限会社田中通信	(Decimal('78.5129635'), Decimal('173.741441'))	492-58-1985	田中 翔太	taroogawa@gmail.com	1902		kumikotanaka	1993-11-11	京都府調布市西小来川25丁目23番12号 シティ竜泉386	2019-02-24	A+	59
Piccinni-Abbagnale s.r.l.	(Decimal('-64.773794'), Decimal('17.560636'))	SRCLBT60B45G344S	Milo Fittipaldi	giadaniggli@tin.it	394		antonia62		"Strada Ottone, 627 Piano 9
64030, Montefino (TE)"	2025-03-24	AB-	326
Johnson-Harvey	(Decimal('23.645300'), Decimal('112.691026'))	479-74-8707	Taylor Thomas	tiffanybennett@hotmail.com	1197		bwelch	1913-04-24	"6255 Cheryl Path
Singhville, PA 78806"	04/30/2019, 00:00:00	AB+	5
Mans e.G.		051-11-8733	Dipl.-Ing. Irmi Pölitz B.Eng.	reigenwillig@gmx.de	1056		johannknud	1915-05-09	"Polina-Pohl-Platz 3/1
75308 Duderstadt"	2020-07-20	AB+	340
Buscetta e figli		LPPNTN28S02C098T	Dott. Allegra Onisto	rita41@libero.it	133		nbianchi	2009-07-29	"Rotonda Carfagna, 821
66023, Francavilla Al Mare Rione Foro (CH)"	2021/06/26	B-	246
Reed and Sons	(Decimal('42.8101005'), Decimal('123.297629'))	836-80-0383	Keith Arroyo	gonzalezjoel@gmail.com	211		mooredanielle	1915-02-27	"05570 Jennifer Streets Apt. 068
Chaneyfort, FL 69360"	31 Mar 2025	O+	352
Kim-Robles	(Decimal('-26.240290'), Decimal('164.011075'))	697-93-8812	Randy Sanders	dana98@gmail.com	2062		marcquinn	2021-05-07	"489 May Rapids
Teresaburgh, MO 78555"	2020/01/28	B+	316
株式会社藤原保険	(Decimal('-45.143898'), Decimal('10.603809'))	894-44-7660	小林 くみ子	tyamamoto@yahoo.com	157		akira28			2020-11-15	AB+	702
Costa da Rosa S.A.		91672580420	Luiz Fernando Monteiro	camargolavinia@bol.com.br	762		barrosmarcelo		"Condomínio de Mendes, 100
Nossa Senhora Do Rosário
61657920 Duarte de Almeida / RJ"	2025-03-18	O+	638
Ribeiro Ltda.	(Decimal('72.928750'), Decimal('-93.404730'))	67952138464	Sophie Mendes	fernando90@ig.com.br	1068		raquel22	2017-01-12	"Ladeira de Moraes, 22
Vila Oeste
67215576 Barros / BA"	2021-01-08	A+	615
Sampaio	(Decimal('79.333976'), Decimal('-21.139582'))	03248679565	Gabriel Cirino	da-pazpedro-miguel@uol.com.br	227		jsales	1932-08-29	"Via de Castro, 92
Nova Esperança
57640201 Santos Alegre / MT"	2021-05-24	O-	496
Fogaça	(Decimal('58.261757'), Decimal('-99.288229'))	58160974230	Maria Julia Oliveira	theodorosantos@bol.com.br	1229		sofia99		"Alameda de Leão, 57
Leticia
60977-494 Albuquerque das Pedras / AC"	2023-03-12	A-	109
Faggiani, Mazzanti e Comencini SPA	(Decimal('-87.1318255'), Decimal('35.618801'))	TRNSRS21L58G953M	Licia Grassi	hsolari@tin.it	2003		wlombardi	2017-07-31	"Via Morgagni, 67 Appartamento 7
20826, Cascina Nuova (MB)"	2019/02/20	O+	641
Rodriguez and Sons	(Decimal('55.1370935'), Decimal('-138.686807'))	388-54-5867	Megan Bernard	charles68@yahoo.com	319		anna72		"982 Lauren Port Apt. 826
Lake Kathy, ND 44305"	2021-10-07	A+	404
Nascimento - ME	(Decimal('32.7481485'), Decimal('-94.657263'))	34508679200	Dante Barbosa	da-matajoao-felipe@gmail.com	922		sofiacunha	1966-10-18	"Loteamento de Machado, 13
Zilah Sposito
64171845 da Paz Alegre / SC"	2023-08-30	O-	68
Garcia	(Decimal('-68.9569385'), Decimal('44.065905'))	58327149628	Cauã Caldeira	da-rosaasafe@bol.com.br	1855		sofiada-cruz	2020-04-18	"Trevo da Rocha, 84
João Alfredo
49369636 Gomes / AM"	2024-04-24	AB-	533
Röhrdanz Matthäi KGaA	(Decimal('39.795652'), Decimal('54.885410'))	680-98-4486	Herbert Vollbrecht-Säuberlich	philippe76@gmx.de	1104		nurigude		"Virginia-Vollbrecht-Allee 3075
70533 Vechta"	10/25/2018, 00:00:00	A-	232
Becker Klemm GmbH	(Decimal('52.1282395'), Decimal('-58.534946'))	524-07-8887	August Juncken	schaefergerta@yahoo.de	1950		agatarohleder		"Katy-Schmidt-Gasse 5700
43367 Heinsberg"	28 Jul 2022	B-	464
Costela S.A.	(Decimal('-29.438915'), Decimal('-153.955456'))	92785036492	Bella Casa Grande	ribeiroaurora@hotmail.com	2130		silvalais		"Morro Fogaça, 492
Monsenhor Messias
23923499 Alves / MT"	10/03/2021, 00:00:00	O+	96
Harloff	(Decimal('1.331543'), Decimal('53.326599'))	820-33-7765	Annekatrin Vogt	lullrich@hotmail.de	2036		jorge03		"Klaus-Jürgen-Schwital-Allee 3507
14909 Havelberg"	04/07/2021, 00:00:00	AB+	685
Costa	(Decimal('37.261074'), Decimal('-114.606135'))	70812364562	Bernardo Aragão	guerraleo@yahoo.com.br	83		arthur-miguelnogueira		"Vereda de Abreu, 1
Conjunto Jatoba
07066246 Sales Paulista / AM"	2019/04/24	O-	353
Rienzo s.r.l.	(Decimal('-80.160123'), Decimal('64.190859'))	GNTGRN34L10E646U	Alfio Campise	giovanni69@libero.it	768		tjacuzzi	2013-09-26		24 Jul 2020	A-	350
Sauro Group	(Decimal('-4.1539155'), Decimal('-71.527629'))	SKLGLI36H17F566B	Flora Infantino-Fabrizi	emiliopascarella@gmail.com	825		dino05		"Stretto Rossi, 388 Piano 2
12055, Diano D'Alba (CN)"	10/09/2023, 00:00:00	O-	14
山田銀行合同会社	(Decimal('17.272255'), Decimal('-79.402246'))	549-59-9269	小林 浩	yoshidahanako@yahoo.com	1461		bendo			08/16/2019, 00:00:00	B+	88
Salvini, Montalcini e Passalacqua s.r.l.	(Decimal('67.628742'), Decimal('-5.088007'))	BRSLVR73A04E608F	Sylvia Zaguri	barracconinetta@yahoo.com	225		fabiarubbia		"Strada Venditti, 76
50027, Chiocchio (FI)"	07 Nov 2018	AB-	194
Silva, Dixon and Hill	(Decimal('-86.314030'), Decimal('-78.006329'))	036-53-3389	Daisy Espinoza	kthompson@gmail.com	336		sanchezashley	1929-01-07	"USCGC Munoz
FPO AE 56206"	2024-09-28	O-	8
田中水産株式会社	(Decimal('-8.3862575'), Decimal('-85.369340'))	753-64-3014	岡田 陽一	mituruokada@hotmail.com	2009		hishikawa	1962-04-16	長野県大島町台東4丁目4番7号 クレスト羽折町504	03/22/2025, 00:00:00	B-	348
Krause GmbH & Co. KG	(Decimal('-42.745514'), Decimal('-30.403083'))	786-06-3740	Jose Schottin	holmschleich@hotmail.de	398		serpil31	1952-04-20	"Vanessa-Ziegert-Weg 82
41012 Bamberg"	2023-06-13	O+	426
Barth Klotz GmbH & Co. KG	(Decimal('14.2178265'), Decimal('-41.222065'))	201-62-6902	Astrid Trub	irmengarddoering@yahoo.de	531		sibillabarth	1959-04-19	"Milos-Davids-Weg 9886
89014 Torgau"	01/13/2024, 00:00:00	AB-	379
Lima Viana S/A		72968145002	Pedro Lucas Cardoso	freitasmaria-cecilia@gmail.com	2074		pietramontenegro		"Esplanada de Pacheco, 963
Capitão Eduardo
93077037 Freitas de Cardoso / AL"	27 Sep 2018	AB-	244
Camiscione, Brunello e Bossi s.r.l.	(Decimal('-88.266308'), Decimal('-121.768771'))	GRSMCL91P46H959O	Sig.ra Fortunata Antonini	saurodolores@gmail.com	1557		liliana41		"Piazza Ugo, 52
28855, Masera (VB)"	09/21/2025, 00:00:00	AB-	301
Booth LLC	(Decimal('61.819475'), Decimal('117.736485'))	837-66-5069	Leslie Lopez	davisleah@hotmail.com	575		devinmoran	1925-03-16	"71691 Faulkner Mountain
Walkerfort, FL 29240"	29 Sep 2020	B-	223
合同会社山口水産		703-47-7907	高橋 結衣	hanakomatsumoto@gmail.com	549		reiikeda		鹿児島県長生郡長南町土沢2丁目10番14号	09/14/2020, 00:00:00	A-	345
Tozzo-Avogadro s.r.l.	(Decimal('58.4806345'), Decimal('-153.652738'))	GCCRMN94L28D197T	Michelangelo Toninelli	nicolapalazzo@libero.it	762		dsmirnoff	1976-06-02	"Incrocio Benussi, 8
55061, San Ginese (LU)"	08 Jun 2022	B-	687
合同会社山下鉱業	(Decimal('-48.5118455'), Decimal('-28.137030'))	086-49-0183	村上 洋介	etakahashi@yahoo.com	751		xyoshida	2021-04-08	山形県印旛郡酒々井町隼町7丁目4番12号	04/16/2023, 00:00:00	AB+	221
Mendonça Melo Ltda.	(Decimal('-45.518441'), Decimal('7.858233'))	64937851039	Thiago Aragão	ryanrezende@uol.com.br	988		ecaldeira			2019-09-28	AB+	37
Trubin KGaA	(Decimal('53.465453'), Decimal('14.150938'))	749-90-9603	Gerolf Klemm-Kobelt	jtrubin@googlemail.com	45		wielochelisa		"Loosring 3-3
30113 Lörrach"	12/04/2019, 00:00:00	A+	682
Zabarella e figli	(Decimal('58.052312'), Decimal('109.449402'))	MZZPNL69E46E201R	Guarino Guglielmi-Letta	pedronialina@outlook.com	2136		fermigreca	1972-12-18	"Contrada Morabito, 0
37062, Dossobuono (VR)"	04/05/2022, 00:00:00	B-	581
Freitas S.A.	(Decimal('63.1111225'), Decimal('-68.546734'))	94276583128	Gabrielly Costela	leaoana-laura@yahoo.com.br	253		riosana-liz		"Morro Kaique Machado, 762
Milionario
86139606 da Cunha / ES"	24 Sep 2024	A-	680
株式会社吉田農林	(Decimal('32.140893'), Decimal('-118.058551'))	877-17-3472	前田 加奈	hiroshi03@hotmail.com	866		itoasuka	1930-04-13	京都府川崎市宮前区白金36丁目13番11号	01 May 2025	B-	280
合同会社岡田銀行	(Decimal('-81.095410'), Decimal('163.614978'))	897-49-2748	遠藤 聡太郎	hayashitaichi@yahoo.com	1996		iyamada	1995-01-08	大分県武蔵野市日光33丁目21番7号 長畑シャルム913	2019-03-09	B+	280
Lee Inc		351-53-0451	Austin Spencer	medinajoe@hotmail.com	1852		michelle14		"0668 Bennett Parkway Suite 726
Gainesmouth, VA 09722"	2018-11-15	B+	422
Kade Stiftung & Co. KG	(Decimal('-48.7606065'), Decimal('-34.960499'))	591-13-1687	Laila Anders	claus-peterdehmel@gmail.com	1952		karl-peter37		"Thoralf-Seip-Weg 1
95465 Tübingen"	11/16/2020, 00:00:00	A+	411
Johnson-Oconnor	(Decimal('72.224968'), Decimal('98.334915'))	163-85-8894	Michael Mcneil	ian38@gmail.com	1613		jason21		"4461 Edwards Estate
South Kevinside, CA 27152"	2019/11/10	AB-	513
Löffler Seifert Stiftung & Co. KGaA	(Decimal('54.8165145'), Decimal('-3.369868'))	424-01-5502	Auguste Bolnbach-Winkler	nancy31@gmx.de	1021		soelzerknut	1931-10-27	"Josefa-Keudel-Gasse 54
59219 Kelheim"	20 Jul 2022	AB-	70
Cunningham and Sons	(Decimal('-83.697379'), Decimal('-122.081369'))	882-09-3230	Valerie Jenkins	pthompson@hotmail.com	2059		gregg88	1997-07-05		15 Oct 2019	B-	647
